variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,111166,-85.19171905517578,-3.0182930776273715e+17,4.756849109803991e+17,5.6336228624124576e+17,1,1,1.6747817993164062,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,119085,-89.35872650146484,-5089211187200.0,3023086026752.0,5919385072206.811,1,1,1.758579969406128,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,127004,-90.27175903320312,66744328650752.0,31795498188800.0,73930772430115.86,1,1,1.673414945602417,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,134923,-82.01411437988281,547311574843392.0,5221720784896.0,547336483641926.9,1,1,1.6282439231872559,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,142842,-74.58789825439453,-1023744737280.0,682059825152.0,1230145882485.03,1,1,1.572270154953003,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,150761,-86.50975036621094,9.412734877192684e+17,3.456717455097856e+16,9.419079935108489e+17,1,1,1.6402199268341064,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,158680,-84.3789291381836,37315641344.0,-6983994880.0,37963578248.07757,1,1,1.6661460399627686,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,166599,-79.50888061523438,610717908598784.0,-243129626132480.0,657334297740953.2,1,1,1.5970890522003174,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,174518,-135.8587646484375,14.060691833496094,-8.221026420593262,16.287674181559385,1,1,1.6362271308898926,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,182437,-91.42543029785156,1.4922129258745692e+18,1.97874743964074e+17,1.5052753337665472e+18,1,1,1.6505091190338135,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,190356,-4000075.5,nan,nan,nan,1,0,1.5455539226531982,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,198275,-74.57081604003906,-4.839221686278554e+16,5947749631524864.0,4.875635731444843e+16,1,1,1.6091678142547607,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,206194,-78.89466857910156,54999597973504.0,-5206968893440.0,55245527441633.836,1,1,1.6169960498809814,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,214113,-83.6233139038086,76256229982208.0,-8862762532864.0,76769532829198.17,1,1,1.5648269653320312,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,222032,-81.5738525390625,7.447887257391858e+18,1.776167851061674e+18,7.656748450482427e+18,1,1,1.6527447700500488,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,229951,-83.64358520507812,357745098752.0,139718803456.0,384061062489.09766,1,1,1.6414909362792969,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,237870,-73.24048614501953,21666142879744.0,8767346835456.0,23372807230169.465,1,1,1.5678620338439941,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,245789,-4000075.25,nan,nan,nan,1,0,1.6077330112457275,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,253708,-87.97284698486328,-2.208682637000704e+16,-2.113675598181171e+16,3.05710705166419e+16,1,1,1.8870131969451904,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,261627,-81.5235824584961,1700203069440000.0,764698660175872.0,1864257095523032.0,1,1,1.6444008350372314,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,269546,-81.6793441772461,-2.5143149149657498e+17,-2.1964297395503104e+16,2.5238903557062528e+17,1,1,1.6683897972106934,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,277465,-95.0009536743164,2.127758745408452e+22,4.738085734419029e+21,2.1798742722756284e+22,1,1,1.559520959854126,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,285384,-80.75164794921875,28412573908992.0,-26126978121728.0,38599136543544.42,1,1,1.6288909912109375,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,293303,-88.9404067993164,-93317895290880.0,1005754035208192.0,1010073962103310.9,1,1,1.6398026943206787,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,301222,-74.65020751953125,6850107764899840.0,851736239538176.0,6902856728375848.0,1,1,1.632375955581665,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,309141,-4000074.0,nan,nan,nan,1,0,1.546018123626709,
