t,x_true,vx_true,y_true,vy_true,x_filt_r,vx_filt_r,y_filt_r,vy_filt_r,x_filt_j,vx_filt_j,y_filt_j,vy_filt_j
94,62.09650802612305,1.6580888032913208,-23.808202743530273,3.9849133491516113,60.85333251953125,2.2487781047821045,-26.194164276123047,3.463233709335327,60.85333251953125,2.2487781047821045,-26.194164276123047,3.4632349014282227
95,63.68306350708008,1.5150189399719238,-19.799341201782227,4.032810211181641,63.080360412597656,2.2439441680908203,-20.296308517456055,4.004261016845703,63.080360412597656,2.2439441680908203,-20.296306610107422,4.0042619705200195
96,64.77014923095703,0.659152626991272,-15.587394714355469,4.391081809997559,64.94979095458984,2.160719633102417,-18.20730972290039,3.5786471366882324,64.94979095458984,2.160719633102417,-18.20730972290039,3.578648090362549
97,65.2701416015625,0.34083789587020874,-11.10727310180664,4.569161891937256,69.77046203613281,2.7518200874328613,-14.09575080871582,3.6970717906951904,69.77046203613281,2.7518200874328613,-14.09575080871582,3.697072744369507
98,65.46327209472656,0.045421302318573,-6.303561210632324,5.038261890411377,65.73377990722656,1.2432632446289062,-9.51463794708252,3.8935253620147705,65.73377990722656,1.2432632446289062,-9.514636993408203,3.893526077270508
99,65.38925170898438,-0.1934560239315033,-1.3313864469528198,4.906087398529053,65.58690643310547,0.9343441724777222,-1.8917574882507324,4.722270965576172,65.58690643310547,0.9343441724777222,-1.8917558193206787,4.72227144241333
100,65.18897247314453,-0.20710012316703796,3.5948054790496826,4.946296691894531,69.05664825439453,1.497766375541687,2.079562187194824,4.555392742156982,69.05664825439453,1.497766375541687,2.0795633792877197,4.555393218994141
101,64.709716796875,-0.7514129877090454,8.566572189331055,4.9972357749938965,65.82595825195312,0.44699859619140625,7.90118408203125,4.836777210235596,65.82595825195312,0.44699859619140625,7.901185512542725,4.836777210235596
102,64.4974365234375,0.3268418312072754,13.044078826904297,3.9577760696411133,64.64350128173828,0.08489778637886047,13.245052337646484,4.949464321136475,64.64350128173828,0.08489778637886047,13.2450532913208,4.949463844299316
103,64.7546157836914,0.1875157207250595,17.16268539428711,4.279438018798828,68.4305419921875,0.9075955152511597,14.590350151062012,4.148538112640381,68.4305419921875,0.9075955152511597,14.590349197387695,4.148537635803223
