method,method_label,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,31976,-93.35357666015625,-3940435.0,-241933.453125,3947855.0866218465,1,1,0.3043971061706543,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,39895,-94.47514343261719,-35455.6171875,-1678.1070556640625,35495.307203020726,1,1,0.298126220703125,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,47814,-92.26781463623047,152943.65625,44230.9609375,159210.99174545964,1,1,0.32848477363586426,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,55733,-93.11912536621094,-51257.0703125,-554.6492309570312,51260.07113524102,1,1,0.32444000244140625,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,63652,-91.00605010986328,-2499120.25,-56297.08203125,2499754.2650039215,1,1,0.3145148754119873,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,71571,-93.2679672241211,-25425.3125,-4764.88525390625,25867.946327560476,1,1,0.3016328811645508,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,79490,-92.80469512939453,572260.8125,88313.765625,579035.1964449377,1,1,0.3102118968963623,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,87409,-93.13786315917969,-143296.484375,18290.328125,144459.05488114888,1,1,0.3098311424255371,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,95328,-93.23735046386719,-267141.375,44329.29296875,270794.38777788565,1,1,0.3006439208984375,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,103247,-93.0257797241211,11491.3154296875,-9052.4091796875,14628.61723680897,1,1,0.29485416412353516,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,111166,-92.38925170898438,-211959.0625,27778.724609375,213771.6111105551,1,1,0.29436492919921875,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,119085,-92.33358764648438,424979.5,-163583.5,455375.8193981099,1,1,0.29489898681640625,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,127004,-92.77667999267578,742089.0,22578.3671875,742432.3986639144,1,1,0.2953801155090332,
legacy_ledh,Legacy differentiable LEDH,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,134923,-94.67787170410156,7071.36767578125,-9391.673828125,11756.180421377176,1,1,0.2963840961456299,
